,channelname,Urls,Thumbs,Title,Views,Time
0,lail,https://youtube.com/watch?v=YKgzqGxratU,https://i.ytimg.com/vi/YKgzqGxratU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDtzxnny_DC4LaDQCfNjkJyD0fCdQ,"Tarot Pull For Earth ~ FOCUS CUTS THROUGH CONFUSION ~ March 13 Barcelona, Spain",103,3 years ago
1,lail,https://youtube.com/watch?v=Zj9ZDAbZeNo,https://i.ytimg.com/vi/Zj9ZDAbZeNo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAIjVLI9UvmTJbjQIi7y9MyDC2U4w,Domingos Desde Mi Ventana,90,3 years ago
2,lail,https://youtube.com/watch?v=ISf8f1o7td4,https://i.ytimg.com/vi/ISf8f1o7td4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDfdxRhQL6Iy3ImrIhqG7KQ5pDrKA,Les Endroits Oú Tu Iras ~ Bisou Magique,217,3 years ago
3,lail,https://youtube.com/watch?v=qPXGvdMHs9Q,https://i.ytimg.com/vi/qPXGvdMHs9Q/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCsm_mmYXdMHa55bG17QYev9HdcBQ,~INOCENCIA~,115,3 years ago
