,channelname,Urls,Thumbs,Title,Views,Time
0,laila,https://youtube.com/watch?v=HIVmgrDVQlQ,https://i.ytimg.com/vi/HIVmgrDVQlQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDT6Y8VBgKdLhGVJkdfVy5IZBySIw,【２０２２年あなたの恋愛運！】出会い、彼との今後、状況まるっと占います！,193,1 year ago
1,laila,https://youtube.com/watch?v=ZAlo6YyYQPc,https://i.ytimg.com/vi/ZAlo6YyYQPc/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB1AaAAuADigIMCAAQARhlIGUoZTAP&rs=AOn4CLAtpPo5Dwd3itfACLiOIEYEuVu-SA,【Vlog】占い師レイキ講座をする。,42,1 year ago
2,laila,https://youtube.com/watch?v=2qMAAobgfxc,https://i.ytimg.com/vi/2qMAAobgfxc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCsT40fMO8UqFtV8b-UFNpe-F16ug,キャプション（字幕）入力が、あっという間に終わる方法！,28,1 year ago
3,laila,https://youtube.com/watch?v=P1b7TVZ45y4,https://i.ytimg.com/vi/P1b7TVZ45y4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBcaaEaKrPHDvYqO-vtf2TUcusmYw,大アルカナの覚え方★力・隠者・運命の輪 のまず３枚！字幕あり。フル画面で見てね！,57,1 year ago
